name,color,price_old,price_new,image,warranty,condition,accessories,CPU,RAM,capacity,battery
Điện thoại Nokia 105,Màu: Đen,240.000₫,610.000₫,"https://img.tgdd.vn/imgt/old/f_webp,fit_outside,quality_75/https://cdn.tgdd.vn/may-cu/Desktop/2024-06-17/0_44640857_nokia1054gdsden_1718604958606.jpg",1 tháng tại TGDĐ,Có trầy xước,"Pin,Sách hướng dẫn,Hộp,Sạc liền cáp MicroUSB,Tai nghe dây đầu 3.5mm",Unisoc T107,48 MB,128 MB,1020 mAh
Điện thoại Nokia 105,Màu: Đen,250.000₫,610.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/12/11/0_45703369_nokia1054gdsden_1733920705616.jpg,1 tháng tại TGDĐ,Có trầy xước,"Pin,Sách hướng dẫn,Hộp,Sạc liền cáp MicroUSB,Tai nghe dây đầu 3.5mm",Unisoc T107,48 MB,128 MB,1020 mAh
Điện thoại Nokia 105,Màu: Xanh ngọc,250.000₫,610.000₫,"https://img.tgdd.vn/imgt/old/f_webp,fit_outside,quality_75/https://cdn.tgdd.vn/may-cu/Desktop/2024-08-23/0_45121784_nokia1054gdsxanh_1724403644947.jpg",Chính hãng đến 03/08/2025,Có trầy xước,"Pin,Sách hướng dẫn,Hộp,Sạc liền cáp MicroUSB,Tai nghe dây đầu 3.5mm",Unisoc T107,48 MB,128 MB,1020 mAh
Điện thoại Nokia 105,Màu: Đen,250.000₫,610.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/12/11/0_44921374_nokia1054gdsden_1733922173406.jpg,Chính hãng đến 09/06/2025,Có trầy xước,"Pin,Hộp,Sạc liền cáp MicroUSB,Tai nghe dây đầu 3.5mm",Unisoc T107,48 MB,128 MB,1020 mAh
Điện thoại Nokia 105,Màu: Đen,370.000₫,610.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/01/02/0_45748034_nokia1054gdsden_1735793887260.jpg,Chính hãng đến 22/12/2025,Có trầy xước,"Hộp, Pin, Sách hướng dẫn, Sạc liền cáp MicroUSB, Tai nghe dây đầu 3.5mm",Unisoc T107,48 MB,128 MB,1020 mAh
Điện thoại Samsung Galaxy Z Flip5 5G 8GB/256GB,Màu: Xanh mint,8.430.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/01/26/0_45141519_samsunggalaxyzflip5f731b8g256gbxanh_1737898234477.jpg,1 tháng tại TGDĐ,Có trầy xước,"Hộp, Sách hướng dẫn, Cây lấy sim, Cáp Type C - Type C",Snapdragon 8 Gen 2 for Galaxy,8 GB,256 GB,3700 mAh
Điện thoại Samsung Galaxy Z Flip5 5G 8GB/256GB,Màu: Xanh mint,8.430.000₫,25.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/18/0_46092755_samsunggalaxyzflip5f731b8g256gbxanh_1742269900289.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Snapdragon 8 Gen 2 for Galaxy,8 GB,256 GB,3700 mAh
Điện thoại Mobell F209,Màu: Đỏ,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/08/0_45478818_mobellf209do_1744122162580.jpg,1 tháng tại TGDĐ,Có trầy xước,"Hộp, Sách hướng dẫn, Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đỏ,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/06/0_46179348_mobellf209do_1743919862633.jpg,Chính hãng đến 14/08/2025,Có trầy xước,"Hộp,Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đỏ,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/10/16/0_45399763_mobellf209do_1729074733376.jpg,Chính hãng đến 27/09/2025,Có trầy xước,Sạc liền cáp MicroUSB,Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/11/02/0_45513804_mobellf209den_1730540610910.jpg,Chính hãng đến 09/08/2025,Có trầy xước,Sạc liền cáp MicroUSB,Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/09/0_46054002_mobellf209den_1741530923566.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Hộp,Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Vàng,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/30/0_46027158_mobellf209vang_1743333895858.jpg,Chính hãng đến 01/10/2025,Có trầy xước,Sạc liền cáp MicroUSB,Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Vàng,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/30/0_46159152_mobellf209vang_1743305607310.jpg,Chính hãng đến 02/10/2025,Có trầy xước,"Sách hướng dẫn,Hộp,Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/28/0_41694066_mobellf209den_1743148099519.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Hộp",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đỏ,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/12/26/0_45359119_mobellf209do_1735179582912.jpg,Chính hãng đến 10/08/2025,Có trầy xước,Sạc liền cáp MicroUSB,Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/01/0_45874765_mobellf209den_1740835679615.jpg,Chính hãng đến 08/08/2025,Có trầy xước,"Sách hướng dẫn,Hộp,Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/12/17/0_45377395_mobellf209den_1734440275421.jpg,Chính hãng đến 24/09/2025,Có trầy xước,"Hộp, Sách hướng dẫn, Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/12/0_45989125_mobellf209den_1744431177907.jpg,Chính hãng đến 30/09/2025,Có trầy xước,"Sách hướng dẫn,Hộp,Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Vàng,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/10/26/0_45469273_mobellf209vang_1729927450475.jpg,Chính hãng đến 16/10/2025,Có trầy xước,"Hộp, Sách hướng dẫn, Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Vàng,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/15/1_45363625_mobellf209vang_1744697263564.jpg,Chính hãng đến 22/09/2025,Có trầy xước,"Sách hướng dẫn,Hộp,Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Vàng,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/21/0_45319663_mobellf209vang_1742567312834.jpg,Chính hãng đến 26/09/2025,Có trầy xước,"Hộp, Sách hướng dẫn, Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Vàng,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/13/0_45921553_mobellf209vang_1744556147481.jpg,Chính hãng đến 24/09/2025,Có trầy xước,"Sách hướng dẫn, Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đỏ,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/10/31/0_45499471_mobellf209do_1730369022418.jpg,Chính hãng đến 08/09/2025,Có trầy xước,"Sách hướng dẫn,Hộp,Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/18/0_46108898_mobellf209den_1742281342365.jpg,Chính hãng đến 18/08/2025,Có trầy xước,Sạc liền cáp MicroUSB,Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/11/26/0_45639320_mobellf209den_1732595970407.jpg,Chính hãng đến 30/09/2025,Có trầy xước,"Hộp,Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/08/0_46019996_mobellf209den_1741397229514.jpg,Chính hãng đến 15/08/2025,Có trầy xước,Sạc liền cáp MicroUSB,Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/20/4_46019606_mobellf209den_1745154398476.jpg,1 tháng tại TGDĐ,Có trầy xước,"Hộp,Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/02/09/0_45933590_mobellf209den_1739093967403.jpg,Chính hãng đến 03/10/2025,Có trầy xước,"Sách hướng dẫn,Hộp",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đỏ,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/15/2_43783610_mobellf209do_1744707886216.jpg,1 tháng tại TGDĐ,Có trầy xước,"Hộp, Sách hướng dẫn, Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đỏ,220.000₫,620.000₫,"https://img.tgdd.vn/imgt/old/f_webp,fit_outside,quality_75/https://cdn.tgdd.vn/may-cu/Desktop/2024-07-08/0_43051054_mobellf209do_1720414153756.jpg",1 tháng tại TGDĐ,Có trầy xước,Sách hướng dẫn,Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Vàng,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/05/0_45848888_mobellf209vang_1741175761329.jpg,1 tháng tại TGDĐ,Có trầy xước,Sạc liền cáp MicroUSB,Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Vàng,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/01/05/0_45804969_mobellf209vang_1736042751347.jpg,Chính hãng đến 04/06/2025,Có trầy xước,"Hộp,Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Xanh Dương,220.000₫,620.000₫,"https://img.tgdd.vn/imgt/old/f_webp,fit_outside,quality_75/https://cdn.tgdd.vn/may-cu/Desktop/2024-09-17/0_45262575_mobellf209xanh_1726562343732.jpg",Chính hãng đến 29/08/2025,Có trầy xước,"Sách hướng dẫn,Hộp,Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Xanh Dương,220.000₫,620.000₫,"https://img.tgdd.vn/imgt/old/f_webp,fit_outside,quality_75/https://cdn.tgdd.vn/may-cu/Desktop/2024-09-01/0_45179799_mobellf209xanh_1725169009226.jpg",Chính hãng đến 10/07/2025,Có trầy xước,Sách hướng dẫn,Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đỏ,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/02/06/0_45432224_mobellf209do_1738807418994.jpg,Chính hãng đến 10/09/2025,Có trầy xước,"Hộp, Sách hướng dẫn, Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đỏ,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/12/21/0_45620685_mobellf209do_1734783839358.jpg,Chính hãng đến 21/08/2025,Có trầy xước,"Hộp,Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đỏ,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/02/05/0_45647355_mobellf209do_1738759688567.jpg,Chính hãng đến 07/08/2025,Có trầy xước,"Sách hướng dẫn,Hộp,Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đỏ,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/02/0_45766839_mobellf209do_1740921081154.jpg,Chính hãng đến 01/09/2025,Có trầy xước,"Hộp, Sách hướng dẫn",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đỏ,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/11/15/0_45582633_mobellf209do_1731672419583.jpg,Chính hãng đến 31/08/2025,Có trầy xước,"Sách hướng dẫn,Hộp",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/02/28/0_45661275_mobellf209den_1740714757968.jpg,Chính hãng đến 03/08/2025,Có trầy xước,"Hộp, Sách hướng dẫn, Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/11/12/0_45535197_mobellf209den_1731417386042.jpg,Chính hãng đến 24/09/2025,Có trầy xước,Hộp,Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/11/28/0_45421215_mobellf209den_1732761403478.jpg,Chính hãng đến 16/08/2025,Có trầy xước,Sạc liền cáp MicroUSB,Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/20/0_45554721_mobellf209den_1742476413334.jpg,Chính hãng đến 27/09/2025,Có trầy xước,"Sách hướng dẫn,Hộp",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Xanh Dương,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/12/09/0_45649888_mobellf209xanh_1733716691281.jpg,Chính hãng đến 29/08/2025,Có trầy xước,"Hộp, Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đỏ,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused/posused/2025/04/16/0_45571132_mobellf209do_1744783639395.jpg,Chính hãng đến 22/08/2025,Có trầy xước,"Hộp, Sách hướng dẫn, Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đỏ,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/27/0_45294022_mobellf209do_1743072810899.jpg,Chính hãng đến 03/09/2025,Có trầy xước,"Hộp,Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đỏ,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/11/26/0_45641260_mobellf209do_1732627549010.jpg,Chính hãng đến 08/06/2025,Có trầy xước,Sạc liền cáp MicroUSB,Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đỏ,220.000₫,620.000₫,"https://img.tgdd.vn/imgt/old/f_webp,fit_outside,quality_75/https://cdn.tgdd.vn/may-cu/Desktop/2024-10-12/0_45402502_mobellf209do_1728735807023.jpg",Chính hãng đến 08/09/2025,Có trầy xước,"Sách hướng dẫn,Hộp,Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đỏ,220.000₫,620.000₫,"https://img.tgdd.vn/imgt/old/f_webp,fit_outside,quality_75/https://cdn.tgdd.vn/may-cu/Desktop/2024-08-26/0_45128674_mobellf209do_1724645445573.jpg",Chính hãng đến 11/08/2025,Có trầy xước,"Hộp, Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đỏ,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/01/27/0_45903430_mobellf209do_1737963211621.jpg,Chính hãng đến 07/09/2025,Có trầy xước,"Sách hướng dẫn,Hộp,Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đỏ,220.000₫,620.000₫,"https://img.tgdd.vn/imgt/old/f_webp,fit_outside,quality_75/https://cdn.tgdd.vn/may-cu/Desktop/2024-10-02/0_45344794_mobellf209do_1727874169730.jpg",Chính hãng đến 27/08/2025,Có trầy xước,Sạc liền cáp MicroUSB,Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/10/28/0_45360928_mobellf209den_1730108401842.jpg,Chính hãng đến 06/07/2025,Có trầy xước,"Sách hướng dẫn,Hộp,Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/01/0_46001944_mobellf209den_1743471480048.jpg,Chính hãng đến 06/08/2025,Có trầy xước,Sạc liền cáp MicroUSB,Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,"https://img.tgdd.vn/imgt/old/f_webp,fit_outside,quality_75/https://cdn.tgdd.vn/may-cu/Desktop/2024-08-08/0_44931088_mobellf209den_1723091835139.jpg",Chính hãng đến 30/07/2025,Có trầy xước,"Hộp, Sách hướng dẫn, Sạc liền cáp MicroUSB",Unisoc T107,48 MB,128 MB,1500 mAh
Điện thoại Mobell F209,Màu: Đen,220.000₫,620.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/13/0_46075114_mobellf209den_1741859764897.jpg,Chính hãng đến 30/08/2025,Có trầy xước,Hộp,Unisoc T107,48 MB,128 MB,1500 mAh
